Date,Close/Last,Volume,Open,High,Low
04/19/2023,$8.36,58609,$9.00,$9.15,$8.36
04/18/2023,$9.001,103923,$8.60,$9.30,$8.60
04/17/2023,$8.513,79877,$8.40,$8.899,$8.40
04/14/2023,$8.301,86860,$8.131,$8.99,$7.913
04/13/2023,$8.103,65509,$7.98,$8.30,$7.741
04/12/2023,$7.899,34640,$7.70,$7.90,$7.50
04/11/2023,$7.555,34114,$7.534,$7.80,$7.40
04/10/2023,$7.50,52898,$7.80,$7.974,$7.40
04/06/2023,$7.749,34079,$7.87,$7.87,$7.60
04/05/2023,$7.87,34126,$8.00,$8.076,$7.70
04/04/2023,$8.10,41958,$8.00,$8.10,$7.90
04/03/2023,$7.898,40692,$7.90,$8.20,$7.701
03/31/2023,$7.895,113202,$7.20,$8.05,$7.1812
03/30/2023,$7.21,34698,$7.402,$7.453,$7.111
03/29/2023,$7.394,58035,$6.916,$7.45,$6.90
03/28/2023,$6.94,33974,$7.00,$7.198,$6.901
03/27/2023,$7.00,58441,$7.10,$7.28,$6.916
03/24/2023,$7.10,32845,$7.10,$7.29,$6.93
03/23/2023,$7.056,28980,$7.30,$7.499,$7.00
03/22/2023,$7.299,62882,$7.107,$7.453,$7.101
03/21/2023,$7.109,74396,$6.78,$7.20,$6.75
03/20/2023,$6.606,72037,$7.00,$7.142,$6.571
03/17/2023,$7.107,112434,$7.30,$7.40,$6.80
03/16/2023,$7.315,76710,$6.928,$7.40,$6.90
03/15/2023,$6.961,162696,$7.30,$7.30,$6.50
03/14/2023,$7.365,162728,$7.90,$8.20,$7.122
03/13/2023,$7.882,219190,$8.233,$8.40,$7.715
03/10/2023,$8.84,248992,$9.10,$9.10,$8.20
03/09/2023,$8.925,461468,$9.69,$9.70,$8.60
03/08/2023,$9.50,4606394,$8.30,$12.40,$7.65
03/07/2023,$8.30,78795,$8.4844,$8.6689,$8.0541
03/06/2023,$8.3615,82771,$8.423,$8.9148,$7.9926
03/03/2023,$8.423,89582,$7.8696,$8.6689,$7.8696
03/02/2023,$7.9311,31710,$7.6237,$8.0092,$7.6237
03/01/2023,$7.6852,29498,$7.9311,$8.1156,$7.6852
02/28/2023,$8.1156,31418,$7.8696,$8.177,$7.7467
02/27/2023,$7.8081,26308,$7.6237,$7.8696,$7.6083
02/24/2023,$7.6852,29675,$7.8081,$7.8696,$7.5622
02/23/2023,$7.8081,37818,$7.7467,$7.9926,$7.6237
02/22/2023,$7.7467,53582,$7.9926,$8.1156,$7.6852
02/21/2023,$7.5622,45848,$7.8081,$8.0535,$7.5622
02/17/2023,$7.9926,21875,$7.8696,$7.9926,$7.8081
02/16/2023,$7.8696,45107,$8.0541,$8.1168,$7.8081
02/15/2023,$8.2385,23550,$8.1156,$8.2693,$8.0541
02/14/2023,$8.177,36554,$7.8696,$8.30,$7.8696
02/13/2023,$7.9311,45433,$7.8696,$8.1156,$7.7467
02/10/2023,$7.8696,68052,$7.9311,$8.0848,$7.5007
02/09/2023,$7.8696,28337,$8.0541,$8.1156,$7.8696
02/08/2023,$7.9311,34012,$8.30,$8.3203,$7.8696
02/07/2023,$8.2385,43480,$7.9926,$8.30,$7.9311
02/06/2023,$7.9311,74236,$8.0541,$8.30,$7.7467
02/03/2023,$7.9926,169084,$7.8081,$8.3615,$7.7467
02/02/2023,$7.5007,75116,$7.3778,$7.6237,$7.3163
02/01/2023,$7.2548,41726,$7.3778,$7.5007,$7.2548
01/31/2023,$7.5007,31350,$7.1319,$7.5007,$7.1319
01/30/2023,$7.1933,41756,$7.4393,$7.4393,$7.1319
01/27/2023,$7.5007,45339,$7.1933,$7.5622,$7.1933
01/26/2023,$7.1933,34531,$7.2548,$7.4393,$7.1933
01/25/2023,$7.3163,22001,$7.3163,$7.3163,$7.1933
01/24/2023,$7.3163,28340,$7.3778,$7.5007,$7.3163
01/23/2023,$7.5007,31149,$7.5622,$7.6237,$7.3778
01/20/2023,$7.5622,23697,$7.2548,$7.5622,$7.2548
01/19/2023,$7.3163,30574,$7.2856,$7.3778,$7.0704
01/18/2023,$7.4393,30970,$7.5622,$7.8081,$7.3778
01/17/2023,$7.5622,19020,$7.3778,$7.6852,$7.3778
01/13/2023,$7.5007,27842,$7.5622,$7.7467,$7.4393
01/12/2023,$7.6237,38835,$7.3778,$7.6852,$7.1933
01/11/2023,$7.2548,59140,$7.3163,$7.3163,$7.1319
01/10/2023,$7.2548,38440,$7.2548,$7.3778,$7.1319
01/09/2023,$7.3163,64435,$7.3163,$7.6852,$7.2548
01/06/2023,$7.2548,39481,$6.8859,$7.3163,$6.8244
01/05/2023,$6.8859,29625,$6.9474,$7.0704,$6.8244
01/04/2023,$6.8859,53445,$6.8244,$7.0704,$6.517
01/03/2023,$6.7015,68621,$6.9474,$7.1011,$6.517
12/30/2022,$6.8859,81603,$6.5785,$7.0089,$6.517
12/29/2022,$6.64,58689,$6.4556,$6.7593,$6.4556
12/28/2022,$6.4556,58309,$6.7015,$6.763,$6.4556
12/27/2022,$6.8244,52413,$6.8859,$7.0089,$6.64
12/23/2022,$6.8859,96676,$6.9474,$7.1312,$6.4556
12/22/2022,$6.9474,35208,$7.1319,$7.1319,$6.8859
12/21/2022,$7.2548,50744,$7.0089,$7.3778,$6.8859
12/20/2022,$7.0704,47722,$6.9474,$7.0704,$6.763
12/19/2022,$6.8859,45210,$7.0704,$7.2542,$6.7753
12/16/2022,$7.0704,67092,$7.1319,$7.3778,$7.0704
12/15/2022,$7.2548,94555,$7.6852,$7.7467,$7.1319
12/14/2022,$7.6852,59079,$7.7467,$7.9926,$7.6237
12/13/2022,$7.7467,95290,$8.30,$8.30,$7.6852
12/12/2022,$8.177,44903,$7.9926,$8.30,$7.9926
12/09/2022,$7.9311,41777,$8.0541,$8.177,$7.8702
12/08/2022,$8.177,64225,$8.177,$8.5152,$7.8696
12/07/2022,$7.9311,177357,$8.423,$8.4844,$7.8696
12/06/2022,$9.5911,65658,$9.7141,$9.7448,$9.3452
12/05/2022,$9.6526,67422,$9.7141,$10.0215,$9.5296
12/02/2022,$9.5911,114596,$10.0215,$10.0221,$9.4681
12/01/2022,$9.8985,147581,$10.1444,$10.7593,$9.8985
11/30/2022,$10.083,138171,$9.837,$10.4519,$9.7756
11/29/2022,$9.8985,69327,$9.96,$10.2674,$9.7141
11/28/2022,$10.083,135173,$9.96,$10.3904,$9.2222
11/25/2022,$10.3289,177292,$9.0378,$10.3904,$8.9148
11/23/2022,$8.9148,167815,$8.30,$9.0378,$8.30
11/22/2022,$8.1156,33680,$7.8696,$8.30,$7.8696
11/21/2022,$7.9311,34549,$7.9926,$8.0848,$7.8081
11/18/2022,$8.1156,36344,$8.2385,$8.2385,$7.9926
11/17/2022,$7.9311,104509,$7.9311,$8.423,$7.6237
11/16/2022,$7.6852,53876,$7.6852,$7.7848,$7.5622
11/15/2022,$7.6852,37665,$7.8081,$7.8696,$7.5622
11/14/2022,$7.7467,35729,$7.8081,$7.8696,$7.5622
11/11/2022,$7.8081,50215,$7.3778,$7.8696,$7.3778
11/10/2022,$7.3163,36992,$7.4393,$7.5007,$7.2548
11/09/2022,$7.2548,42639,$7.3778,$7.4085,$7.0704
11/08/2022,$7.3163,42778,$7.3163,$7.4393,$7.2548
11/07/2022,$7.2548,39372,$7.3163,$7.4393,$7.1319
11/04/2022,$7.3778,72684,$7.3778,$7.5622,$7.0089
11/03/2022,$7.1319,41584,$7.3163,$7.4393,$7.0704
11/02/2022,$7.3163,45679,$7.8081,$7.8696,$7.3163
11/01/2022,$7.8696,34780,$7.5622,$7.8696,$7.5622
10/31/2022,$7.5622,32466,$7.3778,$7.6237,$7.3778
10/28/2022,$7.3778,37530,$7.2548,$7.6237,$7.2548
10/27/2022,$7.2548,16699,$7.3778,$7.5622,$7.2548
10/26/2022,$7.3778,70853,$7.3778,$7.8081,$7.205
10/25/2022,$7.3778,42448,$7.0089,$7.4393,$6.9763
10/24/2022,$6.9474,35646,$7.0089,$7.1319,$6.7667
10/21/2022,$7.0089,35933,$6.8244,$7.1319,$6.7937
10/20/2022,$6.8244,34202,$6.8859,$7.0704,$6.8244
10/19/2022,$6.9474,22320,$6.9474,$7.0704,$6.8552
10/18/2022,$7.0089,26854,$7.0704,$7.1933,$6.8982
10/17/2022,$6.9167,35028,$6.8859,$7.0704,$6.763
